customer,st,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
RB50392,Washington,Female,Master,7714.88,0,1000.0,0,Personal Auto,Four-Door Car,2.7
QZ44356,Arizona,Female,Bachelor,697953.59,0,94.0,0,Personal Auto,Four-Door Car,1131.46
AI49188,Nevada,Female,Bachelor,1288743.17,48767,108.0,0,Personal Auto,Two-Door Car,566.47
WW63253,California,Male,Bachelor,764586.18,0,106.0,0,Corporate Auto,SUV,529.88
GA49547,Washington,Male,High School or Below,536307.65,36357,68.0,0,Personal Auto,Four-Door Car,17.27
OC83172,Oregon,Female,Bachelor,825629.78,62902,69.0,0,Personal Auto,Two-Door Car,159.38
XZ87318,Oregon,Female,College,538089.86,55350,67.0,0,Corporate Auto,Four-Door Car,321.6
CF85061,Arizona,Male,Master,721610.03,0,101.0,0,Corporate Auto,Four-Door Car,363.03
DY87989,Oregon,Male,Bachelor,2412750.4,14072,71.0,0,Corporate Auto,Four-Door Car,511.2
BQ94931,Oregon,Female,College,738817.81,28812,93.0,0,Special Auto,Four-Door Car,425.53
SX51350,California,Male,College,473899.2,0,67.0,0,Personal Auto,Four-Door Car,482.4
VQ65197,California,Female,College,819719.71,0,110.0,0,Personal Auto,SUV,528.0
DP39365,California,Female,Master,879879.7,77026,110.0,2,Corporate Auto,Four-Door Car,472.03
SJ95423,Arizona,Female,High School or Below,881901.89,99845,110.0,1,Corporate Auto,SUV,528.0
IL66569,California,Female,College,538443.17,83689,70.0,2,Corporate Auto,Four-Door Car,307.14
BW63560,Oregon,Female,Bachelor,746313.94,24599,64.0,1,Corporate Auto,Four-Door Car,42.92
FV94802,Nevada,Female,High School or Below,256686.78,25049,67.0,0,Personal Auto,Two-Door Car,454.25
OE15005,California,Female,College,394524.16,28855,101.0,0,Personal Auto,SUV,647.44
WC83389,Oregon,Female,College,571033.31,51148,72.0,0,Personal Auto,Four-Door Car,308.98
FL50705,California,Female,High School or Below,816261.71,66140,101.0,0,Corporate Auto,Four-Door Car,484.8
ZK25313,Oregon,Female,High School or Below,287205.13,57749,74.0,0,Personal Auto,Two-Door Car,355.2
QK46697,Washington,Male,Bachelor,617710.93,61040,79.0,1,Personal Auto,Two-Door Car,20.38
YH23384,Arizona,Female,Bachelor,2412750.4,14072,71.0,0,Personal Auto,Four-Door Car,511.2
TZ98966,Nevada,Female,Bachelor,245019.1,0,73.0,3,Corporate Auto,Four-Door Car,554.38
HM55802,California,Female,Bachelor,239210.79,17870,61.0,0,Corporate Auto,Four-Door Car,439.2
FS42516,Oregon,Female,College,580206.6,97541,72.0,0,Personal Auto,Four-Door Car,389.19
US89481,California,Female,Bachelor,394637.21,0,111.0,0,Personal Auto,Four-Door Car,799.2
HS14476,Washington,Male,College,916206.32,29723,80.0,0,Personal Auto,Four-Door Car,20.99
GE62437,Arizona,Female,College,1290256.01,86584,111.0,2,Personal Auto,Four-Door Car,532.8
EJ77678,Oregon,Female,Master,323536.05,75690,80.0,1,Personal Auto,Four-Door Car,384.0
SV85652,Arizona,Female,College,245458.35,23158,63.0,1,Personal Auto,Four-Door Car,322.29
UL64533,Nevada,Female,High School or Below,1897545.61,65999,237.0,0,Corporate Auto,Luxury,615.93
PF41800,California,Female,Bachelor,471532.13,0,65.0,0,Personal Auto,Four-Door Car,308.15
HD95276,Washington,Female,College,473787.17,0,130.0,0,Personal Auto,SUV,23.82
SK67821,Oregon,Female,Bachelor,493291.63,37260,62.0,0,Corporate Auto,Four-Door Car,15.44
YV55495,Arizona,Female,High School or Below,574422.97,68987,71.0,0,Personal Auto,Four-Door Car,204.48
KY38074,California,Female,Bachelor,1389173.57,42305,117.0,0,Personal Auto,Four-Door Car,561.6
DM79012,Oregon,Female,Master,738097.67,65706,91.0,0,Personal Auto,Four-Door Car,436.8
CM61827,Oregon,Female,Bachelor,309003.41,0,90.0,0,Personal Auto,Two-Door Car,648.0
WC35801,Arizona,Female,High School or Below,252163.31,53243,66.0,2,Personal Auto,Four-Door Car,157.4
QG25316,Nevada,Female,High School or Below,265206.18,0,70.0,1,Corporate Auto,Two-Door Car,484.32
MB98372,Oregon,Female,College,277104.5,50071,71.0,0,Corporate Auto,Two-Door Car,18.92
IL19217,California,Female,Bachelor,393900.64,60021,99.0,0,Personal Auto,Four-Door Car,882.87
SR38658,Arizona,Female,High School or Below,1223187.97,43244,103.0,0,Personal Auto,Luxury,494.4
YD87931,Washington,Male,Doctor,495165.61,46896,35354.0,1,Personal Auto,Four-Door Car,31.71
HG65722,Oregon,Female,Doctor,1281910.29,10105,172.0,3,Personal Auto,SUV,0.52
BU27331,Arizona,Female,Bachelor,446851.05,0,73.0,3,Personal Auto,Four-Door Car,579.17
XM45289,Oregon,Female,High School or Below,551434.4,23218,71.0,0,Personal Auto,Two-Door Car,447.79
KP34198,California,Female,Bachelor,334387.53,0,92.0,0,Corporate Auto,Four-Door Car,529.62
SH90947,Arizona,Female,High School or Below,229447.89,0,62.0,0,Personal Auto,Four-Door Car,313.02
WE95729,Oregon,Female,College,3670742.64,24804,104.0,0,Personal Auto,SUV,593.83
PY51963,California,Female,Bachelor,3347334.95,33190,106.0,0,Corporate Auto,SUV,508.8
RB69909,Nevada,Female,High School or Below,798343.17,36014,69.0,3,Special Auto,Four-Door Car,173.96
NW21079,Washington,Female,Master,487938.48,67163,61.0,2,Personal Auto,Two-Door Car,33.19
FR46645,California,Female,Bachelor,429399.73,16701,113.0,0,Personal Auto,Four-Door Car,831.63
SY17488,Arizona,Female,College,716439.55,46623,91.0,0,Corporate Auto,Four-Door Car,436.8
AP67935,California,Female,College,761951.58,64749,64.0,0,Special Auto,Four-Door Car,302.57
FS37417,Arizona,Female,High School or Below,395800.28,0,101.0,0,Personal Auto,SUV,484.8
ML29312,Oregon,Female,High School or Below,449949.33,16969,124.0,2,Personal Auto,SUV,704.77
UB61619,Oregon,Female,Master,405956.74,11621,108.0,0,Personal Auto,Four-Door Car,518.4
CD86811,Arizona,Female,Bachelor,445811.34,17622,65.0,1,Personal Auto,Four-Door Car,312.0
RU83859,California,Female,Bachelor,811033.31,11489,105.0,0,Personal Auto,Two-Door Car,504.0
FG63582,Oregon,Female,Bachelor,333976.49,0,94.0,0,Personal Auto,Two-Door Car,863.33
NN71951,California,Female,High School or Below,2426101.78,66525,100.0,0,Personal Auto,SUV,104.33
WB37082,Arizona,Female,Bachelor,661397.37,0,63.0,0,Personal Auto,Four-Door Car,676.39
SM52139,Washington,Female,College,293069.35,33663,73.0,0,Personal Auto,Four-Door Car,350.4
FL82372,Oregon,Female,College,867219.43,22547,112.0,0,Corporate Auto,SUV,537.6
DP45816,Arizona,Female,High School or Below,1163866.93,61486,97.0,0,Personal Auto,Two-Door Car,465.26
GW33762,Oregon,Female,Bachelor,684615.03,0,95.0,0,Personal Auto,Two-Door Car,456.0
RZ33670,California,Female,College,1172777.65,29879,102.0,0,Personal Auto,Four-Door Car,500.25
PY70169,Oregon,Female,High School or Below,2264383.48,93011,113.0,0,Personal Auto,SUV,281.45
MO91628,Oregon,Female,Master,261447.43,65186,65.0,0,Personal Auto,Two-Door Car,5.43
HW87852,Oregon,Female,Master,245175.27,26840,64.0,2,Personal Auto,Four-Door Car,307.2
HB20453,Oregon,Female,Bachelor,678127.02,0,104.0,1,Personal Auto,Luxury,982.4
BN87372,Oregon,Female,Bachelor,497480.15,75644,65.0,3,Personal Auto,Two-Door Car,467.8
YX23800,Oregon,Female,Bachelor,859160.49,38984,73.0,0,Personal Auto,Four-Door Car,350.4
DZ87709,Oregon,Female,High School or Below,559216.14,71811,71.0,0,Personal Auto,Four-Door Car,29.03
XW13033,Nevada,Female,College,800947.28,20961,67.0,0,Personal Auto,Four-Door Car,321.6
SP81997,Washington,Female,Master,7714.88,41275,96.0,0,Personal Auto,Four-Door Car,41.12
OM82309,California,Female,Bachelor,5816655.35,61321,186.0,1,Personal Auto,Luxury,427.63
ZU35962,California,Female,College,802522.94,0,77.0,0,Personal Auto,Two-Door Car,25.81
VH85817,California,Female,High School or Below,578018.22,51066,74.0,0,Personal Auto,Four-Door Car,787.99
